measurement_type,datetimems,measurement
ECG,1405436378892,514
ECG,1405436378896,515
ECG,1405436378900,515
ECG,1405436378904,516
ECG,1405436378908,516
ECG,1405436378912,516
ECG,1405436378916,517
ECG,1405436378920,518
ECG,1405436378924,519
ECG,1405436378928,520
ECG,1405436378976,520
ECG,1405436378980,520
ECG,1405436378984,520
ECG,1405436378988,521
ECG,1405436378992,521
ECG,1405436378996,521
ECG,1405436379000,521
ECG,1405436379004,521
ECG,1405436379008,521
ECG,1405436379012,520
ECG,1405436379016,519
ECG,1405436379020,519
ECG,1405436379024,518
ECG,1405436379028,517
ECG,1405436379032,516
ECG,1405436379036,515
ECG,1405436379040,513
ECG,1405436379044,512
ECG,1405436379048,511
ECG,1405436379052,511
ECG,1405436379056,510
ECG,1405436379060,510
ECG,1405436379064,509
ECG,1405436379068,508
ECG,1405436379072,507
ECG,1405436379076,507
ECG,1405436379080,507
ECG,1405436379084,507
ECG,1405436379088,507
ECG,1405436379092,507
ECG,1405436379096,507
ECG,1405436379100,507
ECG,1405436379104,507
ECG,1405436379108,507
ECG,1405436379112,507
ECG,1405436379116,507
ECG,1405436379120,507
ECG,1405436379124,506
ECG,1405436379128,507
ECG,1405436379132,507
ECG,1405436379136,507
ECG,1405436379140,507
ECG,1405436379144,507
ECG,1405436379148,507
ECG,1405436379152,506
ECG,1405436379156,506
ECG,1405436379160,506
ECG,1405436379164,507
ECG,1405436379168,507
ECG,1405436379172,507
ECG,1405436379176,508
ECG,1405436379180,508
ECG,1405436379184,507
ECG,1405436379188,507
ECG,1405436379192,507
ECG,1405436379196,507
ECG,1405436379200,507
ECG,1405436379204,507
ECG,1405436379208,507
ECG,1405436379212,507
ECG,1405436379216,507
ECG,1405436379220,507
ECG,1405436379224,507
ECG,1405436379167,506
ECG,1405436379171,506
ECG,1405436379175,506
ECG,1405436379179,507
ECG,1405436379183,507
ECG,1405436379187,507
ECG,1405436379191,507
ECG,1405436379195,507
ECG,1405436379199,507
ECG,1405436379203,506
ECG,1405436379207,506
ECG,1405436379211,506
ECG,1405436379215,506
ECG,1405436379219,506
ECG,1405436379223,507
ECG,1405436379227,507
ECG,1405436379231,507
ECG,1405436379235,507
ECG,1405436379239,506
ECG,1405436379243,506
ECG,1405436379247,506
ECG,1405436379251,506
ECG,1405436379255,507
ECG,1405436379259,507
ECG,1405436379263,507
ECG,1405436379267,507
ECG,1405436379271,507
ECG,1405436379275,507
ECG,1405436379279,507
ECG,1405436379283,506
ECG,1405436379287,506
ECG,1405436379291,507
ECG,1405436379295,507
ECG,1405436379299,507
ECG,1405436379303,507
ECG,1405436379307,507
ECG,1405436379311,508
ECG,1405436379315,508
ECG,1405436379319,508
ECG,1405436379323,508
ECG,1405436379327,509
ECG,1405436379331,509
ECG,1405436379335,509
ECG,1405436379339,509
ECG,1405436379343,509
ECG,1405436379347,509
ECG,1405436379351,509
ECG,1405436379355,510
ECG,1405436379359,510
ECG,1405436379363,511
ECG,1405436379367,511
ECG,1405436379371,510
ECG,1405436379375,510
ECG,1405436379379,510
ECG,1405436379383,509
ECG,1405436379387,509
ECG,1405436379391,508
ECG,1405436379395,508
ECG,1405436379399,507
ECG,1405436379403,507
ECG,1405436379407,507
ECG,1405436379411,506
ECG,1405436379415,506
ECG,1405436379427,505
ECG,1405436379431,505
ECG,1405436379435,505
ECG,1405436379439,506
ECG,1405436379443,506
ECG,1405436379447,506
ECG,1405436379451,507
ECG,1405436379455,507
ECG,1405436379459,507
ECG,1405436379463,508
ECG,1405436379467,508
ECG,1405436379471,508
ECG,1405436379475,507
ECG,1405436379479,507
ECG,1405436379483,507
ECG,1405436379487,507
ECG,1405436379491,506
ECG,1405436379495,505
ECG,1405436379499,504
ECG,1405436379503,502
ECG,1405436379507,503
ECG,1405436379511,506
ECG,1405436379515,512
ECG,1405436379519,520
ECG,1405436379523,531
ECG,1405436379527,543
ECG,1405436379531,552
ECG,1405436379535,555
ECG,1405436379539,548
ECG,1405436379543,534
ECG,1405436379547,517
ECG,1405436379551,505
ECG,1405436379555,500
ECG,1405436379559,501
ECG,1405436379563,505
ECG,1405436379567,507
ECG,1405436379571,508
ECG,1405436379575,506
ECG,1405436379579,506
ECG,1405436379583,506
ECG,1405436379587,506
ECG,1405436379591,507
ECG,1405436379595,507
ECG,1405436379599,508
ECG,1405436379603,508
ECG,1405436379607,508
ECG,1405436379611,508
ECG,1405436379615,508
ECG,1405436379619,507
ECG,1405436379623,507
ECG,1405436379627,507
ECG,1405436379631,508
ECG,1405436379635,508
ECG,1405436379639,508
ECG,1405436379643,509
ECG,1405436379647,509
ECG,1405436379651,509
ECG,1405436379655,509
ECG,1405436379659,510
ECG,1405436379663,510
ECG,1405436379667,510
ECG,1405436379671,510
ECG,1405436379675,509
ECG,1405436379692,510
ECG,1405436379696,510
ECG,1405436379700,511
ECG,1405436379704,511
ECG,1405436379708,512
ECG,1405436379712,511
ECG,1405436379716,512
ECG,1405436379720,512
ECG,1405436379724,513
ECG,1405436379728,514
ECG,1405436379732,516
ECG,1405436379736,517
ECG,1405436379740,517
ECG,1405436379744,517
ECG,1405436379748,517
ECG,1405436379752,517
ECG,1405436379756,517
ECG,1405436379760,518
ECG,1405436379764,518
ECG,1405436379768,518
ECG,1405436379772,519
ECG,1405436379776,519
ECG,1405436379780,519
ECG,1405436379784,518
ECG,1405436379788,518
ECG,1405436379792,517
ECG,1405436379796,517
ECG,1405436379800,516
ECG,1405436379804,515
